TempAvgF,DewPointAvgF,HumidityAvgPercent,SeaLevelPressureAvgInches,VisibilityAvgMiles,WindAvgMPH,WindGustMPH,Events
83,68,62,29.9,10,7,21,not rainy
85,68,62,29.89,10,7,22,Rain
87,71,63,29.87,10,7,27,not rainy
87,71,63,29.9,10,8,23,not rainy
88,71,65,29.92,10,7,20,not rainy
88,70,60,29.82,10,7,29,not rainy
89,72,61,29.73,10,8,28,not rainy
89,71,60,29.75,10,7,23,not rainy
84,72,72,29.92,10,4,19,"Rain , Thunderstorm"
87,69,60,29.92,10,5,17,not rainy
86,64,54,29.79,10,6,22,not rainy
88,67,54,29.67,10,5,17,not rainy
91,72,63,29.76,10,7,22,not rainy
79,71,70,30.02,8,5,23,Rain
83,71,67,30.11,10,5,19,Rain
82,72,74,30.08,8,2,22,"Rain , Thunderstorm"
81,72,75,30,7,3,30,Rain
82,70,70,29.91,10,4,18,not rainy
87,73,68,29.85,10,6,23,not rainy
89,73,64,29.88,10,8,27,not rainy
89,72,62,30.02,9,7,24,not rainy
89,72,63,30.06,10,6,25,not rainy
88,71,62,30,10,7,26,not rainy
90,72,60,29.97,10,7,28,not rainy
89,70,58,30.01,10,6,19,not rainy
89,71,60,30.06,10,4,20,Thunderstorm
87,71,61,30.05,10,3,27,"Rain , Thunderstorm"
88,67,59,30.02,10,3,17,Thunderstorm
89,67,56,29.99,10,4,19,not rainy
88,65,57,29.95,10,5,20,not rainy
89,69,58,29.96,10,7,22,not rainy
89,70,59,29.99,10,6,20,not rainy
90,70,59,30.06,10,3,19,not rainy
89,69,58,30.07,10,4,22,not rainy
87,70,65,30.01,9,3,35,"Rain , Thunderstorm"
84,69,67,29.93,9,3,24,not rainy
88,71,63,29.9,10,3,23,"Rain , Thunderstorm"
88,70,61,29.98,10,5,20,not rainy
89,70,60,30.07,10,5,29,not rainy
90,69,56,30.03,10,5,22,not rainy
91,68,56,29.95,10,5,24,not rainy
90,68,58,29.9,10,6,22,not rainy
90,71,58,29.88,10,4,24,"Rain , Thunderstorm"
89,71,60,29.95,10,3,19,"Rain , Thunderstorm"
91,71,61,30.03,10,7,24,not rainy
91,70,58,30.03,10,6,27,not rainy
89,67,54,29.97,10,5,21,not rainy
91,64,54,29.9,10,5,20,not rainy
92,64,51,29.86,10,4,17,not rainy
93,68,48,29.91,10,4,20,not rainy
88,61,43,29.97,10,4,20,not rainy
